name,total_number,fill_f_A,fill_f_p,l1_norm
UGC02690,16620,0.1989,0.5438,1.6
NGC6754,48026,0.2545,0.5829,0.6
SN2011iy,1733,0.0187,0.0500,7.0
SN2007st,35972,0.3755,0.5180,1.3
NGC5236,33781,0.3212,0.3320,3.5
SN2000cl,39214,0.4128,0.6089,1.1
NGC677,3,0.0001,0.0011,nan
NGC7469,11159,0.1239,0.2656,0.9
SN2009jr,15780,0.1787,0.5672,0.4
SN2009bb,29755,0.3389,0.7452,1.8
SN2017fvr,21183,0.2340,0.4917,0.9
NGC7552,25276,0.2423,0.2604,1.9
target_3_centre,12707,0.1526,0.5200,1.6
SN2001cp_1,1045,0.0136,0.1762,2.3
SN2009ig,1382,0.0147,0.3706,4.8
NGC1483,41234,0.4298,0.4984,0.8
SN2009D,6921,0.0898,0.4247,3.0
SN2015H,28604,0.2900,0.4373,1.4
SN2001da,2368,0.0339,0.3013,2.7
NGC1512,4176,0.0444,0.1562,1.0
SN2017fqk,22243,0.2340,0.4927,0.6
ASASSN14dd_1,58076,0.2234,0.6178,0.5
SN2008fq,38849,0.3832,0.4437,0.8
SN2009K,11690,0.1365,0.2585,1.2
SN2017fwm,14090,0.1975,0.6624,0.7
SN2008fu,2890,0.0400,0.4712,1.6
SN2008ge,2,0.0000,0.0000,nan
SN2017gaw,920,0.0110,0.2079,4.1
NGC6902,18492,0.1853,0.3026,1.4
NGC5584,48375,0.4977,0.5954,1.0
SN2007le,41637,0.4408,0.5880,0.6
SN2010el,33124,0.3208,0.3704,1.7
SN2014cr,35834,0.4815,0.7096,1.2
SN2016iye,39042,0.4358,0.6440,0.8
SN2007mm,12,0.0002,0.2069,7.7
SN2014dm_b,3515,0.0810,0.4109,2.0
ASASSN14dl_1,13520,0.2174,0.2661,1.0
SN2017fbu,33553,0.3386,0.5470,1.0
SN2016bas,19285,0.2629,0.5541,0.6
NGC7582,15567,0.1162,0.3343,3.1
SN2007rz,9883,0.1331,0.6273,1.1
SN2011ce,39298,0.4679,0.7265,1.2
SN1978G,30000,0.0556,0.2247,1.4
NGC4981,36085,0.3466,0.4743,1.2
SN2001fv,43614,0.4549,0.5983,1.6
SN2002cr,7363,0.0787,0.4569,0.8
SN2012ho,47051,0.2577,0.5767,1.5
IC+5179,58848,0.6318,0.7661,0.7
SN2016iyz,24023,0.2646,0.6202,0.8
NGC2207,48139,0.5228,0.7153,0.7
SN2002cx,6617,0.0797,0.6763,0.9
SN1985G,13804,0.1466,0.6496,0.7
SN2009dq,26593,0.3119,0.5954,1.1
IC986,15,0.0002,0.0214,nan
SN1997dn,44225,0.4554,0.7189,0.8
UGC06697,40026,0.1269,0.7048,0.7
UGC09799,240,0.0040,0.0431,1.8
NGC5334,36796,0.3828,0.4419,1.2
target_5_centre,40862,0.4752,0.6803,0.6
NGC4496A,58508,0.6126,0.7091,0.8
SN2017fvf,49137,0.5147,0.7070,0.5
SN2011fh,35583,0.4198,0.7447,1.1
SN2011gf,1816,0.0250,0.3094,1.9
SN2017ahn,34939,0.3865,0.5186,1.2
SN1990Q,33136,0.3557,0.5822,0.7
SN2010ev_2,54155,0.5139,0.6212,0.7
NGC4790,64474,0.6663,0.7893,0.7
NGC4825,351,0.0036,0.0294,4.8
NGC4936,51,0.0006,0.0040,21.3
SN2010F,34173,0.1923,0.4950,1.6
NGC4592,48957,0.5204,0.6003,1.0
NGC4030,71792,0.7022,0.7216,0.5
NGC4191,2561,0.0341,0.2132,4.3
ESO097-013,38682,0.0930,0.1189,2.6
NGC4603,24020,0.2461,0.3338,0.9
ASASSN14lp_1_new,86297,0.4500,0.6262,0.7
